epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2075.63,0.57883,0.97694,1.99747,0.84233,0.82112,0.88061,0.78758,0.95825,1.00577,1.28798,0.000996313,0.000996313,0.000996313
43,2123.77,0.5516,0.96572,1.99092,0.91914,0.81906,0.92032,0.8276,0.94476,0.94904,1.29172,0.000990125,0.000990125,0.000990125
44,2172.27,0.58014,0.99537,1.99193,0.86951,0.84325,0.88955,0.79834,0.95944,0.9833,1.31688,0.000983938,0.000983938,0.000983938
45,2221.48,0.56763,0.98941,1.98592,0.90005,0.88006,0.94131,0.8252,1.11716,1.01483,1.51753,0.00097775,0.00097775,0.00097775
46,2270.47,0.5696,0.95434,1.99156,0.85707,0.85884,0.90361,0.81932,0.98818,1.04115,1.33805,0.000971562,0.000971562,0.000971562
47,2319.39,0.57049,0.9764,2.00352,0.83654,0.91545,0.93557,0.84463,1.00364,1.01714,1.36724,0.000965375,0.000965375,0.000965375
48,2367.71,0.58224,0.9984,2.00432,0.92203,0.86504,0.93929,0.84493,0.93334,0.89002,1.28249,0.000959187,0.000959187,0.000959187
49,2416.44,0.56223,0.92027,1.98726,0.82366,0.91445,0.91397,0.76043,1.09402,1.12529,1.36084,0.000953,0.000953,0.000953
50,2465.28,0.54276,0.95724,1.97768,0.85627,0.82569,0.87082,0.76803,1.08062,1.11484,1.45903,0.000946812,0.000946812,0.000946812
51,49.2952,0.54948,0.96224,1.98633,0.8818,0.81917,0.89368,0.80387,1.05588,1.09929,1.41991,0.000940625,0.000940625,0.000940625
